artDate,year,intern_id,content
12/05-12/11,109,1,開始在本店上班外，還要去別家店支援，每次支援的時候都只會想客群、客人、活動內容，活動內容好難想啊!品項只有這些，要如何搭配內容以及價格，真的好難啊~畢竟現在很多人健康意識抬頭，希望有一些健康、熱量不高的東西吃。      認識的客人都好可愛，不管是阿姨還是婆婆，我在他們眼裡應該是他們的女兒或孫女吧!認識這些客人讓我覺得每天都像在交朋友一樣，幸好沒有遇到要介紹兒子或孫子給我的，哈哈哈哈哈哈
12/12-12/18,109,1,快到聖誕節了，每間店開始以了聖誕節的氣方以及裝飾，這禮拜不忘要跟客人推薦聖誕節蛋糕，但是自己站店還可以認識新的櫃位也滿開心的，讓自己都不用煩惱吃的東西，哈哈哈哈！這禮拜沒有遇到什麼神奇的客人，只有客人要推薦我然後邀請我跟他一起去直銷團體。幸好一口氣拒絕了，要不然不知道要多久才會結束這短暫的惡夢。
12/19-12/25,109,1,這個月開始要衝刺聖誕節蛋糕的預購，發現在一人店根本不知道到底活動內容以及折扣跟優惠，當客人詢問時，都不知道該怎麼辦...... 幸好前店長願意幫忙我解決問題， 這週得了腸胃炎直接休息了三天，真的生不如死，上吐下瀉，上班直接吐了好幾輪，謝謝幫我上班的同事，特地從永和跑來幫我上班，才短短四小時而已。也體會到平常時跟同事的關係是多麽的重要。
12/26-01/01,109,1,經歷了上禮拜的腸胃炎，這禮拜沒有完全復原就上工了，雖然生病的時候有發生了一些事情，但是想了想，我也不是有意要讓另一個人上了六天的整天班。讓前店長去跟他說了說，也感受到了一些歉意，但是說出來的話已經不能收回。或許對方所說的並沒有惡意，但是也讓我學到了不少，謝謝店長休假特地來給我一些東西吃，還有關心我。
01/02-01/08,110,1,經歷了聖誕節，接下來重點活動是春節了，春節禮盒、發糕，第一次知道我們原來有在做發糕，而且還有三個顏色，每個都發的好滿，真的是太有農曆春節的感覺了！！！而且距離農曆春節還有幾個星期，已經有阿姨們來詢問，最近麵包銷量都不太好，只能用冷藏品來衝業績，幸好接近農曆春節，公司紛紛開始舉辦尾牙或是部門聚餐之類的，讓我有穩定的業績～
01/09-01/15,110,1,距離這間店要收起來還有一個月，調來這裡後，也認了不少熟客，還有其他櫃位員工，之前每天都在想什麼時後要撤櫃，卻覺得離開這裡就會想念這裡的一切，發生的點點滴滴。每個客人都覺得不應該收起來，我已經習慣來這裡了。但是也發現到折扣真的可以吸引到消費者，除了要去慈惠宮參拜的民眾或是逛菜市場的民眾，少數客人真的都是因為這裡折扣多而來的。
01/16-01/22,110,1,以實習生的身份待著，也有學到說話的藝術，這門課真的很難，因為看見了有些同事因為本身個性較直接，說話不拐彎抹角。然而有時候直接並沒有關係，但是有時候在百貨公司這種地方，就是需要一些適當得宜的服務。 這週幫同事危機處理，要不然客人真的差點投訴了他。也讓我深深感受到何謂說話的藝術
01/23-01/29,110,1,這禮拜過得非常平穩，沒有發生了什麼事情。經歷過了腸胃炎之後，發現身體真的要好好保重，何況像只有兩個人的店，一個人生病，另一個人就要承擔，甚至要一直上班。      這禮拜非常平安，沒有什麼意外。有時候發現客人都會默默地認人，雖然一開始不知道這裡的客人或是什麼，實際來了之後真的發現，原來客人比我們還會認人，會說：今天是你喔～那個弟弟今天沒上班喔！ 每當客人這樣說，我就會覺得原來客人都有偷偷地觀察。
01/30-02/05,110,1,下禮拜是農曆年了，這週開始大家陸陸續續出門採買年菜或是要祭祖的食物，越來越有農曆年的味道。今年公司開始有做發糕，這項產品真的讓我百思不得其解，為何麵包店會出現發糕？甚至還有紹興醉雞？？ 我真的滿頭問號！讓我知道原來，麵包店也可以出醉雞呢！為了搶攻年節商機。公司也真努力研發。現在開始越來越期待實習結束的那天來臨～二月了！！！加油加油！！ 
02/06-02/12,110,1,這週終於是農曆年節了，謝謝店長讓我回去家裡跟家人好好過三天年假，雖然別人是五天，我這種職業有三天我也很開心，回去吃吃飯，看看家人，有了一些動力之後再回來繼續努力上班。這禮拜待在店裡的時間少，回去陪陪家人，真的很開心～～ 回去陪陪家人聊天、吃飯，讓我很開心，漸漸開始覺得回家的時間少了，更珍惜那些與家人團聚在一起的時光。
02/13-02/19,110,1,上禮拜的休息後，今天一開店真的是有一些後遺症哪～～ 一早在包裝的時候，真的是都不知道在做什麼，差點把客人要的東西給賣出去了。本以為樓上辦公室的人們都好好回去陪陪家人，殊不知有人跟我一樣初四就開工了。以為農曆春節生意會不太好，幸好出來逛街的人潮滿多的，好險沒有丟很多麵包。
02/20-02/26,110,1,這個月底，我們的櫃位就要撤走了。說起來滿難過的，還記得剛開始來的時候非常的抗拒，但是還是逼自己面對了。這其中也領悟到很多很多的事情，甚至是同事之間的溝通能力。在這間店，跟著這位店長，並沒有什麼不好，有增加了一些跟客人的相處啊～溝通上的能力，雖然會一起抱怨哪個客人不好或是什麼，但抱怨完也是繼續努力上班～ 過幾天後又要去別家店開始上班了～那邊的客群又不一樣，不知道接下來的挑戰會是什麼？好期待啊～ 
02/26-03/05,110,1,這禮拜好好的與松山店的櫃位阿姨們好好道別了，這週開始去了微風南山，發現是前店長！心裡為之瘋狂，超級感動，熟悉的方式，人、事、物，真的好開心啊！！！好久沒有團隊合作，超喜歡的感覺，這就是團隊合作啊！雖然客人什麼的都不一樣，這裡客人嘴巴更挑。個個都是老饕級別，吃了味道不對就會馬上反應，真是考驗我的反應能力啊！開始期待在這裡的生活了～ 
03/05-03/12,110,1,來新店的第二個禮拜，之後要在這裡待到實習結束了。這裡的一切既熟悉又陌生，雖然同事們之前都有一起上班過，但是第一次沒有師傅的感覺真是奇怪，客人們紛紛議論著為什麼沒有師傅，就要一一跟客人解釋原因，真的好累啊！這裡的客人真的滿有禮貌的，也有一定的程度，不會趕你要快點，只會慢慢的排隊等待結帳，真的是天使客人啊！！！！
03/13-03/19,110,1,第一次在這裡開晨會，真的是好好笑啊！早上要一起做體操，用體操來迎接美好的一天，真的好好笑，第一次難免覺得害羞彆扭極了！！原來在這麼高檔百貨公司，早上還要一起做體操才能開晨會，也是個新奇的體驗。在這裡默默的開始認識別櫃位的員工們，開啟了我的社交能力，看看能不能讓店裏的業績成長一些，不然客人看到沒有師傅就會直接走過去！
03/20-03/26,110,1,漸漸開始接近夏天了，天氣 忽冷忽熱，讓業績也起伏不定，到底該怎麼辦呢？想要店長開會的時候不會因為業績問題被點名做報告，但是每每覺得自己很努力了，成果卻不盡理想，只能告訴自己已經努力了，沒辦法就是沒辦法。希望有天業績真的可以好起來，才不會枉費那麼貴的租金！！！
03/27-04/02,110,1,清明連假開始了，大家都回去清明祭祖了，這週的百貨公司沒有什麼人，還是努力的上班，，雖然知道大家清明連假都會自己煮菜，等於一個小圍爐的感覺，也是家庭可以聚在一起的日子，下個月就是實習結束的日子！！想到這個就有動力繼續上班了！！！
04/03-04/09,110,1,連假終於過去了！有動力繼續上班了！！人潮回來的感覺真好，這樣不用擔心今天要丟掉多少錢的麵包跟吐司了！越接近下個月心裡就越波濤洶湧，店長在詢問我要不要續留時，其實心裡滿掙扎的。畢竟跟同事們有革命情感，經歷了風風雨雨，說不難過也是騙人的，要開始懷念之前的點滴，時光總是短暫的，希望畢業後我也會懷念這些。
04/03-04/09,110,1,經歷這次的實習學會了適時的站在他人想法思考，經營一間店除了本身要做的工作以外，其實最重要的就是團隊合作，這份工作真的非常需要團隊合作，不能自己一個人假裝堅強，然後自己去面對甚至是應對。有時候遇到雷隊友拖累到團隊的時候真的覺得很嘔，更嘔的是溝通的過程當中常常會起衝突。幸好我的脾氣沒有很大，要不然就跟她吵起來了！ 這趟旅程中真的很多辛酸血淚，也修了很多脾氣跟對事情的態度或是想法，讓我覺得自己默默的長大了，學會用不同角度看待事情、去思考著下一步該怎麼做。 帶著收穫滿滿的心，即將踏入下一個階段。
04/03-04/09,110,1,這件事情差點跟同事吵架了呢！有客人某天因為想要買東西請自己部門人員們吃，不多不少剛好要40顆，但是我同事跟他說現場的數量沒有那麼多可能要幫你從別家店調貨，他便一口氣答應了客人。之後出包了，別間店的店長沒接電話，這下子該怎麼辦呢？沒想到我同事居然請客人買了一半泡芙一半蛋糕，客人想了一會兒，還是答應了。結果我還是跟她說客人要多少？我們可以拜託副理請蛋糕部追加給我們，沒想到我同事怎麼樣都不告訴我，甚至理直氣壯的跟我說：「我處理好了！你不用擔心。」但我還是很白目的傳真給蛋糕部說要追加的品項，要不然明天店裡沒東西可以賣。想不到隔天客人指著冰箱說：「你們這裡不是有泡芙嗎？為什麼昨天跟我說沒有？」真的是讓隔天上班的人無緣無故的被客人罵，幸好我們店長有訓斥了她，要不然這口氣真的吞不下啊！！！
04/03-04/09,110,1,我覺得現階段我能學的東西已經差不多了，因為我們能做的事情就是這些，剩下的事情幾乎都是店長自己扛，謝謝店長！
12/08-01/01,109,2,"從上一份工作結束到現在大概一個多月的空窗期,這段時間當然我也沒有浪費,除了每天早上聽個CNN新聞,閒暇之餘也在之前的餐廳打工,也開始在找下一份實習工作,但可能接近年尾,並沒有太多的選擇機會,今天剛好是2021年1月1日,希望過了這個糟糕的2020能夠迎來更好的轉機,目前打算應徵的工作還是偏行銷類的,也有想過轉往業務方面,畢竟能夠賺錢的職業除了學歷頂端的行業,再來就是業務了,在還沒找到工作的這段時間,我也會去多閱讀業務相關的書籍,也藉這機會讓我能更多的接觸不同的產業"
